huc_12,subwatershed_description,rps_slope_mean,rps_elevation_mean,acres,sq_mile,states,huc_2,huc_4,huc_6,huc_8,huc_10,region_description,subregion_description,basin_description,subbasin_description,watershed_description
020501020610,lyon_brook-chenango_river,5.94,1370.53,13016.36,20.33,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020701,headwaters_genegantslet_creek,3.74,1686.78,13530.53,21.14,ny,02,0205,020501,02050102,0205010207,mid-atlantic,susquehanna,upper_susquehanna,chenango,genegantslet_creek
020501020702,upper_genegantslet_creek,4.56,1509.81,10627.78,16.6,ny,02,0205,020501,02050102,0205010207,mid-atlantic,susquehanna,upper_susquehanna,chenango,genegantslet_creek
020501020703,middle_genegantslet_creek,4.13,1422.5,28026.15,43.79,ny,02,0205,020501,02050102,0205010207,mid-atlantic,susquehanna,upper_susquehanna,chenango,genegantslet_creek
020501020704,lower_genegantslet_creek,5.65,1244.5,14516.37,22.68,ny,02,0205,020501,02050102,0205010207,mid-atlantic,susquehanna,upper_susquehanna,chenango,genegantslet_creek
020501020801,bowman_creek,4.34,1543.89,17085.86,26.69,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020802,mill_brook-chenango_river,4.74,1463.29,10302.88,16.09,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020803,padget_brook-bear_brook,5.41,1455,15465.33,24.16,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020804,wheeler_brook-chenango_river,5.74,1282.11,17342.96,27.09,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020805,spring_brook-chenango_river,5.34,1303.14,27969.12,43.7,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020806,ockerman_brook-chenango_river,5.58,1157.19,10664.88,16.66,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020807,page_brook,5.3,1306.77,22449.37,35.07,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020808,osborne_creek,6.73,1376.58,15941.9,24.9,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020809,castle_creek,6.12,1303.93,19407.91,30.32,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501020810,thomas_creek-chenango_river,6.23,1071.52,20247.55,31.63,ny,02,0205,020501,02050102,0205010208,mid-atlantic,susquehanna,upper_susquehanna,chenango,lower_chenango_river
020501030101,upper_nanticoke_creek,5.52,1326.94,15166.64,23.69,ny,02,0205,020501,02050103,0205010301,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,nanticoke_creek
020501030102,east_branch_nanticoke_creek,6.3,1303.81,14616.86,22.83,ny,02,0205,020501,02050103,0205010301,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,nanticoke_creek
020501030103,crocker_creek,6.11,1302.43,10921.04,17.06,ny,02,0205,020501,02050103,0205010301,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,nanticoke_creek
020501030104,middle_nanticoke_creek,6.24,1254.92,17048.97,26.63,ny,02,0205,020501,02050103,0205010301,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,nanticoke_creek
020501030105,lower_nanticoke_creek,6.37,1192.32,14891.16,23.26,ny,02,0205,020501,02050103,0205010301,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,nanticoke_creek
020501030201,little_choconut_creek-susquehanna_river,6.31,1211.86,19360.82,30.25,ny,02,0205,020501,02050103,0205010302,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,choconut_creek-susquehanna_river
020501030202,upper_chocohut_creek,7.68,1557.78,12515.11,19.55,pa,02,0205,020501,02050103,0205010302,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,choconut_creek-susquehanna_river
020501030203,middle_chocohut_creek,7.88,1442.33,12752.23,19.92,"ny,pa",02,0205,020501,02050103,0205010302,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,choconut_creek-susquehanna_river
020501030204,lower_chocohut_creek,7.45,1302.96,11255.34,17.58,ny,02,0205,020501,02050103,0205010302,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,choconut_creek-susquehanna_river
020501030205,patterson_creek-susquehanna_river,5.17,1057.34,15050.96,23.51,ny,02,0205,020501,02050103,0205010302,mid-atlantic,susquehanna,upper_susquehanna,owego-wappasening,choconut_creek-susquehanna_river
